Contract Text,Gold Summary,BART Summary,Extractive Summary
"Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")","Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")","Birch First Global Investments Inc. (""Birch"") and Mount Kowledge Holdings Inc. ""MA"" are subsidiaries of Birch First. Birch First is a member of the S&P 500 index; Mount KOWledge is a constituent of the Nasdaq.","Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")"
"VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")","Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")","Rogers Cable Communications Inc. (""Rogers"") and EuroMedia Holdings Corp. (""EuroMedia"") have a license to use the content of this article. For more information, visit www.rogers.com and www.euromedia.com.","VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")"
"CONTENT DISTRIBUTION AND LICENSE AGREEMENT CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")","CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")","CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Visit CNN.com/Travel each week for a new gallery of snapshots. For the latest from CNN, visit our Travel Snapshot gallery.","CONTENT DISTRIBUTION AND LICENSE AGREEMENT CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")"
"WEBSITE CONTENT LICENSE AGREEMENT PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")","PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")","WEBSITE CONTENT AGREEMENT PSiTech Corporation (""Licensor"") and Empirical Ventures, Inc (""Licensee"") have a license to use this content. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org.","WEBSITE CONTENT LICENSE AGREEMENT PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")"
"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")","Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")","Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")  ""Licensor"" means ""owner"" or ""manager"" in Chinese.","Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")"
"CO-BRANDING AND SERVICES AGREEMENT RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")","RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")",".com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"") and deltathree.com ( formerly known as PrimeCall) have a joint venture agreement to sell e-mail services.","CO-BRANDING AND SERVICES AGREEMENT RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")"
"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")","WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")","WOMEN.COM NETWORKS, INC. (""Women.com"") and EDIETS.COM, Inc. (""eDiets"") are part of the Dow Jones Sustainability Index (DJSI) index.","WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")"
"PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")","INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")","Time Life, Inc. d/b/a Time Life Music (""TL"") and Time Music, LLC (""Time Life"") entered into this agreement. Time Life, INC. and TIME Life, LLC (Time Life) are not related to each other.","PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT INTEGRITY INCORPORATED (""Integrity""); TIME LIFE, INC. d/b/a Time Life Music (""TL"")"
"ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")","Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")","Arnold Schwarzenegger is the founder and CEO of Fitness Publications, Inc. and MusclePharm Corporation. The company is also known as Marine MP, LLC. Marine MP and Muscle Pharm are affiliated with Arnold Schwarzenegger and Fitness Publications.","ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT Marine MP, LLC (“Lender”); Arnold Schwarzenegger (“Endorser”); Fitness Publications, Inc. (“Fitness”); Lender, Endorser and Fitness (“AS Parties”);  MusclePharm Corporation (""MusclePharm"" or ""Company"")"
"Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”) England, United Kingdom; Wales, United Kingdom","Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”) England, United Kingdom; Wales, United Kingdom","Skype Communications, S.A. (""Skype""), TOM Online (BVI) limited (""Online BVI"") and TOM Online Inc. (“Tom Holding”) are the parties to this Agreement. Skype, Online BVI, the Company, Skype Holding and Tom Holding are collectively known as “Parties”","Skype Communications, S.A. (""Skype""); Skype Technologies, S.A. (""Skype Holding""); TOM Online (BVI) limited(""Online BVI""); TOM Online Inc. (""Tom Holding""); Tel Online Limited (""Company""). Skype, Online BVI and the Company (“Party” and collectively as “Parties.”); Skype, Online BVI, the Company, Skype Holding and Tom Holding (“party to this Agreement” and collectively as “parties to this Agreement.”) England, United Kingdom; Wales, United Kingdom"
